From,To
@soybean52,"@DrPanMD,@vaxxedthemovie,@avoiceforchoice"
@liberalgirl4,"@DrPeppercorn,@ShirinRajaee,@CBSSacramento"
@ClaudiaHirawat,"@DrPeppercorn,@ShirinRajaee,@CBSSacramento"
@CAWalks,@DrRimaLaibow
@StepPalmer,@DrRimaLaibow
@JourneysNonnie,@DrRimaLaibow
@ShamanofDrums,@DrThomasPaul
@fubarista,@DrThomasPaul
@melogna,@DrThomasPaul
@aafpprez,"@Drwandafiler,@EllynStecker"
@pediatricskc,"@DrWilliamHoh,@DrPanMD,@PedsGeekMD"
@janusnorman,"@DrWilliamHoh,@DrPanMD,@PedsGeekMD"
@Fawnzie10,"@DrWilliamHoh,@DrPanMD,@PedsGeekMD"
@PedsGeekMD,"@DrWilliamHoh,@DrPanMD,@PedsGeekMD"
@kxamtxon,@ElenaNBCSD
@WilliaBriggsDDS,@ElenaNBCSD
@AnonymTipster,@ElenaNBCSD
@PrincipalSloan1,@ElenaNBCSD
@_MarilynM,@ElenaNBCSD
@Goodluckbeer,@ElenaNBCSD
@_noelove,@ElenaNBCSD
@TrnLannister,@ElenaNBCSD
@birthingbeyond,@ElenaNBCSD
@busysleepig,@ElenaNBCSD
@nbcsandiego,@ElenaNBCSD
@busysleepig,@ElenaNBCSD
@jencarverphoto,@ElenaNBCSD
@rascan001,@ElenaNBCSD
@Meglet_42,@ElenaNBCSD
@Meglet_42,@ElenaNBCSD
@Meglet_42,@ElenaNBCSD
@Drwandafiler,@EllynStecker
@LeahinLA,@EllynStecker
@NVICLoeDown,@EllynStecker
@LeahinLA,@EllynStecker
@ShotAtLife,@EndPolioNow
@capn_madd_katt,@fl0werb0ys
@afullmargin,@fl0werb0ys
@DotFranny,"@FlygirlDx,@TannersDad,@BenAllenCA,@tedlieu"
@slealey53,"@FlygirlDx,@TannersDad,@BenAllenCA,@tedlieu"
@FordDiem,@FoldableHuman
@LeahinLA,@Forbes
@reesemdion,@ForgingMeanings
@reesemdion,@ForgingMeanings
@frill_ability,@frill_ability
@katannsky2,"@gateshealth,@BillGates"
@ShotAtLife,@gavi
@ShotAtLife,@gavi
@ShotAtLife,@gavi
@Mandeep_Dh,@gavi
@CIRWH,@gavi
@VaxTrac,@gavi
@ShotAtLife,@gavi
@DrPanMD,@gavi
@ShotAtLife,@gavi
@Subscatter,@gavi
@icm2016,@gavi
@OrinLevine,@gavi
@SamanthaJGalvin,"@gavi,@BIDInitiative"
@ksaalim521,"@gavi,@globalmomschall,@ShotAtLife"
@thesaddleguy1,"@gavi,@globalmomschall,@ShotAtLife"
@spacatti,"@gavi,@globalmomschall,@ShotAtLife"
@LydiaMFanfan,"@gavi,@MSF!,@MSâ€¦"
@VaxxedMobile,"@gavi,@MSF!,@MSâ€¦"
@ShotAtLife,"@gavi,@UNICEF"
@RAndrewOhge,"@gavi,@UNICEF"
@GovindarajVR,"@gavi,@UNICEF"
@slealey53,"@gavi,@UNICEF"
@ShotAtLife,"@gavi,@unicefturk"
@marcellakroll,"@gavi,@unicefturk"
@EphraimRabin,"@gavi,@WHO"
@DiagnosticChick,@GaviSeth
@VaccineAlertFYI,@GaviSeth
@ftechnewscom,@GaviSeth
@SamanthaJGalvin,@GaviSeth
@OrinLevine,@GaviSeth
@healthaccess,"@GeneralRoth,,@DrPanMD."
@EaseT1d,"@GeneralRoth,@doclobby,@SenateRepCaucus,@BethGaines_,@TedGaines,@Stone4Senate,@DrPanMD"
@Awithonelison,"@GeoffSchuler,@dkegel,@GidMK"
@Awithonelison,"@GeoffSchuler,@dkegel,@GidMK"
@doritmi,"@GeoffSchuler,@sburke85,@itsmepanda1,@DrWakefield,@delbigtree,@DrPanMD"
@doritmi,"@GeoffSchuler,@sburke85,@itsmepanda1,@KeppyJlkep,@DrWakefield,@DrPanMD,@delbigtree"
@annettemhall,"@GeoffSchuler,@sburke85,@itsmepanda1,@KeppyJlkep,@DrWakefield,@DrPanMD,@delbigtree"
@annekott,"@GlobalHealthOrg,@WHO"
@BentonDr,@goharrison
@pchorsedoc,@GoIrish1951
@SANTINORICE,@GoIrish1951
@SANTINORICE,@GoIrish1951
@SANTINORICE,@GoIrish1951
@safacles,@GovernorDeal
@safacles,@GovernorDeal
@DearVegAbby,@GovernorDeal
@CAWalks,"@GovPressOffice,@BenAllenCA,@CASenateDems,@SenateGOP,@congbillposey,@jasoninthehouse"
@VoiceOfOBrien,"@gravenimagerd,@willfriedle"
@lizditz,@handmadekathy
@ShannanVelayas,"@handmadekathy,@LMurphy23,@DowntownSac,@DrPanMD,@Steinberg4Sac"
@dmilat68,@HealthFreedomRX
@dmilat68,@HealthFreedomRX
@dawterofliberty,@HealthFreedomRX
@tweybright,@HealthFreedomRX
@dawterofliberty,@HealthFreedomRX
@dawterofliberty,@HealthyATV
@ftechnewscom,@HealthyATV
@icansketchu,@HealthyATV
@BassBabyDoll,@HealthyATV
@MAVISLEAGUE,@HealthyATV
@AutismOne,@HealthyATV
@THRiiiVE,@healthyown
@THRiiiVE,@healthyown
@THRiiiVE,@healthyown
@HighlandWell,@healthyown
@HomeopathyWomen,@healthyown
@dawterofliberty,"@healthyown,@google,@bbcworld,@facebook,@abcnews,@foxnews,@nytimes"
@PWnorthwest,"@healthyown,@google,@housefloor,@bostonglobe,@wfaachaâ€¦"
@slealey53,"@healthyown,@google,@housefloor,@bostonglobe,@wfaachaâ€¦"
@savyone23,"@healthyown,@google,@latimes,@bbcworld,@cbcnews"
@StepPalmer,"@healthyown,@google,@latimes,@bbcworld,@cbcnews"
@AnniElocin,"@healthyown,@google,@youtube,@bbcworld,@portlandmercury,@abcnews,@heraldtribune"
@wendyblazer65,"@healthyown,@MarcellaPiperTe"
@microbiomom,"@healthyown,@MarcellaPiperTe"
